,序号,高校,学院,学科、专业,基地/重点学科/实验室/工程中心,级别,教育层次,lon,lat
0,1.0,北京大学,考古文博学院,考古学（文物建筑方向）,国家级实验实践教学中心,国家,本科,116.308264,39.995304
1,,,,,国家级虚拟仿真实验教学中心,,硕士,0.0,0.0
2,,,,,,,博士,0.0,0.0
3,2.0,清华大学,建筑学院,建筑学（建筑历史与理论方向）,国家重点一级学科,国家级,硕士,116.326759,40.003304
4,,,,城乡规划学（城乡历史与理论、城乡历史保护与城市设计方向）,空间信息技术在文化遗产中的应用研究国家文物局重点科研基地 ,,博士,0.0,0.0
5,,,,风景园林学（风景园林历史与理论、风景园林遗产保护方向）,,,,0.0,0.0
6,3.0,东南大学,建筑学院,建筑历史与理论学（建筑历史与理论研究方向）,国家重点二级学科,国家级,本科,120.376091,31.482067
7,,,,遗产保护专业,城市与建筑遗产保护教育部重点实验室 ,,硕士,0.0,0.0
8,,,,,传统木构建筑营造技艺研究国家文物局重点科研基地,,博士,0.0,0.0
9,4.0,同济大学,建筑与城市规划学院,历史建筑保护工程专业,国家历史文化名城研究中心,国家级,本科,121.210861,31.288713
10,,,,城市规划学（城乡发展历史和遗产保护方向）,城乡历史环境再生研究中心,,硕士,0.0,0.0
11,,,,风景园林学（历史理论与遗产保护方向）,,,博士,0.0,0.0
12,5.0,天津大学,建筑学院,城乡规划学（城乡历史保护与发展方向）,文物建筑测绘研究国家文物局重点科研基地,国家级,硕士,117.169884,39.113447
13,,,,建筑学（建筑历史与理论方向）,建筑文化遗产传承信息技术文化部重点实验室,,博士,0.0,0.0
14,,,,风景园林学（风景园林历史理论与遗产保护方向）,中国传统村落与建筑遗产保护协同创新中心,省部级,,0.0,0.0
15,,,,,中国文化遗产保护国际研究中心,,,0.0,0.0
16,,,,,天津市旧城区改造生态化技术工程中心,,,0.0,0.0
17,,,,,天津市中国传统村落与建筑遗产保护协同创新中心,,,0.0,0.0
18,,,,,建筑文化遗产传承信息技术文化部重点实验室,,,0.0,0.0
19,6.0,华南理工大学,建筑学院,建筑学（建筑历史与理论、建筑遗产保护方向）,建筑历史文化研究中心,省部级,硕士,113.367149,23.110704
20,,,,城市规划学（城乡发展历史与遗产保护规划方向）,,,博士,0.0,0.0
21,,,,风景园林学（风景园林历史文化与遗产保护方向）,,,,0.0,0.0
22,7.0,哈尔滨工业大学,建筑学院,建筑学（中外建筑史论与遗产保护）,中俄中东铁路文化遗产保护创新研究中心,省部级,硕士,126.632884,45.743721
23,,,,城市规划学（城乡历史文化保护规划理论）,,,博士,0.0,0.0
24,,,,风景园林学（风景园林历史理论与遗产保护）,,,,0.0,0.0
25,8.0,浙江大学,艺术与考古学院，,考古与文博系,,,,120.164517,30.292956
26,,,建筑工程学院,建筑设计与理论研究所,,,硕士,0.0,0.0
27,,,,,,,博士,0.0,0.0
28,9.0,华中科技大学,建筑与城市规划学院,建筑学（建筑历史与理论方向）,,,硕士,114.434479,30.511049
29,,,,,,,博士,0.0,0.0
30,10.0,重庆大学,建筑城规学院,建筑学（建筑历史与理论方向）,,,硕士,106.46773,29.561465
31,,,,,,,博士,0.0,0.0
32,11.0,西安建筑科技大学,建筑学院,历史建筑保护工程专业,陕西省古迹遗址保护与利用工程技术研究中心,省部级,本科,108.965222,34.239635
33,,,,,陕西省古迹遗址保护工程技术研究中心,,硕士,0.0,0.0
34,,,,,,,博士,0.0,0.0
35,12.0,北京林业大学,园林学院,园林学（园林历史与理论方向）,,省部级,硕士,116.341404,40.002502
36,,,,,,,博士,0.0,0.0
37,13.0,北京建筑大学,建筑与城市规划学院,历史建筑保护工程专业,建筑遗产保护实验室,省部级,本科,116.341093,39.936144
38,,,,,北京市校内创新实践基地,,硕士,0.0,0.0
39,,,,,,,博士,0.0,0.0
40,14.0,大连理工大学,建筑与艺术学院,建筑学（建筑历史方向）,,,博士,121.529015,38.880379
41,15.0,沈阳建筑大学,建筑与规划学院,建筑学（建筑历史与理论）,东北历史文化遗产景观实验基地,省部级,硕士,123.51595,41.74323
42,,,,风景园林学（北方园林历史理论与遗产保护）,,,博士,0.0,0.0
43,16.0,南京大学,建筑与城市规划学院,建筑学（建筑历史与理论方向）,,,硕士,118.961365,32.110012
44,,,,,,,博士,0.0,0.0
45,17.0,武汉大学,土木建筑工程学院,建筑学,,,,114.365248,30.53786
46,18.0,湖南大学,建筑学院,建筑学,,,,112.943119,28.177444
47,19.0,四川大学,建筑与环境学院,建筑学（建筑历史与理论方向）,,,硕士,104.083748,30.630869
48,,,,城乡规划学（城乡发展历史与遗产保护规划）,,,,0.0,0.0
49,20.0,北京工业大学,建筑与城市规划学院,建筑学（历史建筑遗产与保护研究方向）,北京市历史建筑保护工程技术研究中心,省部级,硕士,116.481374,39.877484
50,,,,,国家局木结构古建筑安全评估与灾害风险控制重点科研基地,,,0.0,0.0
51,21.0,合肥工业大学,建筑与艺术学院,建筑学,安徽省徽派建筑保护与发展工程技术研究中心,省部级,硕士,117.293767,31.846725
52,,,,,,,,0.0,0.0
53,22.0,山东建筑大学,建筑城规学院,建筑学（建筑遗产保护方向）,人居研究中心-遗产保护研究所,省部级,硕士,117.181744,36.686719
54,,,,,国家文物局乡土文化遗产保护重点科研基地,,,0.0,0.0
55,23.0,深圳大学,建筑与城市规划学院,建筑学（建筑历史与遗产保护方向）,建筑历史与遗产保护研究中心,校级,硕士,113.935097,22.527939
56,,,,,,,博士,0.0,0.0
57,24.0,西南交通大学,建筑与设计学院,建筑学（建筑历史与理论）,,,硕士,103.445503,29.57567
58,,,,风景园林学,,,,0.0,0.0
59,25.0,中央美术学院,建筑学院,建筑学（建筑历史与理论方向）,,,硕士,114.375816,34.806561
60,,,,,,,,0.0,0.0
61,26.0,上海交通大学,设计学院,建筑学（建筑与城市遗产保护更新方向）,建筑文化遗产保护国际研究中心,校级,硕士,121.425413,31.206075
62,,,,,木建筑研究与设计中心,,,0.0,0.0
63,27.0,厦门大学,建筑与土木工程学院,建筑学（文化遗产与城市建设方向）,,,博士,118.095414,24.436803
64,28.0,华侨大学,建筑学院,建筑学（历史建筑保护研究方向）,,,硕士,118.645264,24.934317
65,,,,,,,,0.0,0.0
66,29.0,青岛理工大学,建筑与城乡规划学院,建筑学（建筑历史方向）,,,硕士,120.205632,35.973277
67,,,,风景园林（风景园林历史理论与遗产保护方向）,,,,0.0,0.0
68,30.0,昆明理工大学,建筑与城乡规划学院,建筑学（建筑历史及理论方向）,云南文化遗产保护实验室,省部级,硕士,102.856572,24.852559
69,31.0,安徽建筑大学,建筑与规划学院,建筑学（建筑史方向）,徽派建筑研究所,省部级,硕士,117.22809,31.74456
70,32.0,北京交通大学,建筑与艺术学院,建筑学（建筑遗产与景观方向）,,,硕士,116.33934,39.950612
71,33.0,吉林建筑大学,建筑与规划学院,建筑学,,,硕士,125.407666,43.79522
72,34.0,南京工业大学,建筑学院,建筑学（建筑历史与理论）,中国传统建筑工匠技艺研究中心,,硕士,118.642381,32.077725
73,35.0,福州大学,建筑与城乡规划学院,建筑学（建筑历史方向、建筑遗产保护方向）,,,硕士,119.19505,26.057266
74,36.0,内蒙古工业大学,建筑学院,建筑学,,,硕士,111.684173,40.847165
75,37.0,苏州科技大学,建筑与城市规划学院,建筑历史与理论专业,,,硕士,120.55703,31.265566
76,,,,城乡历史遗产保护规划专业风景园林遗产保护专业,,,,0.0,0.0
77,38.0,郑州大学,建筑学院,建筑学（建筑文化方向）,,,硕士,113.533269,34.820615
78,39.0,西安交通大学,人居环境与建筑工程学院,建筑学（建筑历史与理论）,地域建筑与文化遗产研究所,,硕士,108.98565,34.250189
79,40.0,长安大学,建筑学院,城乡规划学（历史文化名城保护方向）,,,硕士,108.955053,34.228959
80,,,,建筑学（建筑历史方向）,,,,0.0,0.0
81,41.0,湖南理工学院,土木建筑工程学院,历史建筑保护工程专业,文物建筑保护利用重点科研基地,省部级,本科硕士,0.0,0.0
82,42.0,南阳理工学院,建筑学院,历史建筑保护工程专业,历史建筑保护工程实训室,校级,本科,112.552877,32.967697
83,43.0,苏州大学,建筑学院,历史建筑保护工程专业,,,本科,120.641182,31.302245
84,,,,,,,硕士,0.0,0.0
85,44.0,西南交通大学,建筑与设计学院,建筑学（世界遗产方向）,,,硕士,103.445503,29.57567
