,Unnamed: 0,名称,时代,保护级别,类别明细,宗教类型,地理位置,建筑规模,建筑具体情况,保存现状,备注,lon,lat
0,炎帝庙,,金代,,,民间信仰,山西省长治县八义镇龙山村炎帝庙,,,,,113.054969,35.970396
1,法云院,,元代,,,佛教,山西省长治县西八村法云院,,,,,113.011295,35.975512
2,岱岳庙,,元代,,,民间信仰,山西省长治县八义村岱岳庙,,,,,113.026887,35.966909
3,玉皇观,,宋代,,,民间信仰,山西省长治县南宋乡北宋村玉皇观,,,,,113.073946,35.94105
4,观音庙,,元代,,,民间信仰,山西省长治县南宋乡南宋村观音庙,,,,,113.06652,35.919647
5,洪福寺,,元代,,,佛教,山西省长治县荫城镇李坊村洪福寺,,,,,113.088919,35.99661
6,玉皇庙,,元代,,,民间信仰,山西省长治县荫城镇冯村玉皇庙,,,,,113.12569,35.957959
7,关帝庙,,元代,,,民间信仰,山西省长治县八义镇龙山村关帝庙,,,,,113.054969,35.970396
8,北宋村玉皇庙,,元代,,,民间信仰,山西省长治县南宋乡北宋村玉皇庙,,,,,113.073946,35.94105
9,北琚寨玉皇庙,,元代,,,民间信仰,山西省长治县荫城镇北琚寨玉皇庙,,,,,113.12569,35.957959
10,观音殿,,明代,,,民间信仰,山西省长治县南宋乡赵村观音殿,,,,,113.057462,35.93708
11,赵村玉皇庙,,明代,,,民间信仰,山西省长治县南宋乡赵村玉皇庙,,,,,113.057462,35.93708
12,南泉庄三官庙,,明代,,,民间信仰,山西省长治县八义镇南泉庄村三官庙,,,,,113.022019,35.959068
