,踏查点名称,时代,保护级别,类别明细,宗教类型,地域分布/地理信息,建筑规模,建筑具体情况,保存现状,备注,lon,lat
0,龙王庙,明,无,寺庙,民间信仰,"长治县韩店镇郭堡村,E113.0777,N36.07869",中,"距碑文记载,明正德三年（1508）重修。后殿为明代建筑,前殿和鼓楼为清代建筑。","坐北朝南,二进院落布局,现存后殿、前殿和鼓楼。庙内存明代重修碑1通。前殿又称龙王殿,面阔五间,进深三间,单檐硬山顶,柱头斗栱七踩单翘双昂。",,113.071623,36.073739
1,泰山庙,明,市文物保护单位,寺庙,民间信仰,"苏店镇原家庄村,E113.101416,N36.137864",大,"创建年代不详,据中殿琉璃正脊题记载,明嘉靖十九年（1540）重修。占地3890平方米。","坐东朝西,三进院落布局,中轴线依次建有山门、戏楼、香亭、中殿、后殿,两侧为配殿、浪房、钟楼、鼓楼。中殿面阔三间,进深四椽,单檐硬山顶,五檩前廊式构架,柱头斗栱五踩双昂,里转双翘。后殿石砌台基,面阔三间,进深六椽,单檐歇山顶,七檩无廊式构架,柱头斗栱五踩双昂。",庙内存清代记事碑1通。,0.0,0.0
2,东岳庙,明,无,寺庙,民间信仰,"西池乡河头村,E113.154532,N36.048877",小,"据庙内碑文记载,明万历四年（1576）重修并增修东廊房。","坐北朝南,中布局,现存前殿、后殿及东配殿。后殿面阔五间,进深三间,单檐悬山顶,柱头斗栱三踩单昂。",,113.148827,36.043617
3,五龙庙,明,无,寺庙,民间信仰,"苏店镇东贾村,E113.108059,N36.108393",中,"据庙内碑文记载,明万历十年（1582）重修,清代多次修葺。","坐北朝南,二进院落布局,现存正殿、前殿、东西耳殿。正殿面阔五间,进深三间,单檐歇山顶,柱头斗栱七踩单翘双昂。",庙内存明代重修碑1通。,113.102692,36.102695
4,申川玉皇庙,明,无,寺庙,道教,"西池乡申川村,E113.111811,N36.02834",中,"据碑文记载,创建于唐大和年间（827—835）,以后各代多次维修。","坐北朝南,二进院落布局,现存正殿、西配殿。正殿为明代建筑,面阔七间,进深四间,单檐悬山顶,柱头斗栱五踩双昂。",,113.106415,36.022621
5,重阳庙,明,无,寺庙,民间信仰,"苏店镇南天河村东,E113.122019,N36.119714",中,创建、重修年代不详。,"坐北朝南,二进院落布局,现存正殿,面阔五间,进深三间,单檐悬山顶,柱头斗栱五踩双昂。",,0.0,0.0
6,沼泽王庙,明,无,寺庙,民间信仰,"苏店镇苏店村,E113.099068,N36.123297",小,创建、重修年代不详。,"坐北朝南,中布局,现存正殿,面阔五间,进深三间,单檐悬山顶,柱头斗栱七踩单翘双昂。",,113.095375,36.120712
7,祖师庙,明,无,寺庙,道教,"苏店镇南董村,E113.100504,N36.097992",小,创建年代不详。,"坐东朝西,现存正殿、北耳殿。正殿面阔三间,进深三间,单檐悬山顶,柱头斗栱五踩双昂。",,113.094788,36.092266
8,原家庄关帝庙,明,无,寺庙,民间信仰,"苏店镇原家庄村西,E113.10085,N36.136381",中,创建年代不详。,"坐北朝南,二进院落布局,中轴线现存正殿、中殿,两侧为东西耳殿、配殿。正殿面阔三间,进深三间,单檐悬山顶,柱头斗栱五踩双昂。",,0.0,0.0
9,炎帝庙,元,省级文物保护单位,寺庙,民间信仰（炎帝）,"北呈乡北和村,E113.018799,N36.055889",中,"创建年代不详,清道光二十六年（1846）维修,占地面积816平方米","坐北朝南,一进院落布局,中轴线存正殿,为元代建筑,两侧耳殿为清代重建。正殿石砌台基,高1.8米,殿身面阔三间,进深六椽,单檐硬山顶。梁架六架椽屋四椽栿对前乳栿通檐用三柱,四椽栿为自然弯材,内柱头上施四铺作斗拱出抄头托梁栿,内柱下施仰覆莲柱础,外檐柱头斗栱四铺作单下昂,昂为琴面昂。",庙内存清道光维修功德碑一通,113.018913,36.055626
10,祖师庙,元,县级文物保护单位,寺庙,三教合一,"郝家庄乡北郭村,E113.073257,N36.083549",小,"创建及重修年代不详,占地面积594平方米","坐北朝南,一进院落布局,现仅存大殿1座,主体建筑结构为元代。石砌台基,高0.50米,殿身面阔三间,进深四椽,单檐悬山顶。殿内梁架三椽栿对前搭牵通檐用三柱,前檐辟廊。柱头阑额、普拍枋断面呈“丁”字形,柱头斗棋四铺作单抄,隐刻泥道慢栱,补间每间一朵。石质方形廊柱,圆形素面砂石柱础。装修已不存。
",,113.064941,36.159515
11,碧霞元君行宫,元、明,无,寺庙,民间信仰（碧霞元君）,"郝家庄乡高河村,E113.014847,N36.14962",中,"创建年代不详,据庙内碑文记载,明万历二年至四年（1574-1576）大修,占地988平方米","坐北朝南,一进院落布局,中轴线建有戏台、正殿,两侧各存配殿三间",寺内存明代经幢一座、明碑一通,113.014595,36.15004
