,序号,高校,学院,学科、专业,基地/重点学科/实验室/工程中心,级别,教育层次,lon,lat
0,1.0,北京大学,考古文博学院,考古学（文物建筑方向）,国家级实验实践教学中心,国家,本科,116.308264,39.995304
1,,,,,,,硕士,0.0,0.0
2,,,,,,,博士,0.0,0.0
3,2.0,清华大学,建筑学院,建筑学（建筑历史与理论方向）,国家重点一级学科,国家,硕士,116.326759,40.003304
4,,,,城乡规划学（城乡历史与理论、城乡历史保护与城市设计方向）,空间信息技术在文化遗产中的应用研究国家文物局重点科研基地 ,,博士,0.0,0.0
5,,,,风景园林学（风景园林历史与理论、风景园林遗产保护方向）,,,,0.0,0.0
6,3.0,东南大学,建筑学院,建筑历史与理论学（建筑历史与理论研究方向）,国家重点二级学科,国家,本科,120.376091,31.482067
7,,,,遗产保护专业,城市与建筑遗产保护教育部重点实验室 ,,硕士,0.0,0.0
8,,,,,传统木构建筑营造技艺研究国家文物局重点科研基地,,博士,0.0,0.0
9,4.0,同济大学,建筑与城市规划学院,历史建筑保护工程专业,国家历史文化名城研究中心,国家,本科,121.210861,31.288713
10,,,,城市规划学（城乡发展历史和遗产保护方向）,城乡历史环境再生研究中心,,硕士,0.0,0.0
11,,,,风景园林学（历史理论与遗产保护方向）,,,博士,0.0,0.0
12,5.0,天津大学,建筑学院,城乡规划学（城乡历史保护与发展方向）,文物建筑测绘研究国家文物局重点科研基地,国家级,本科,117.169884,39.113447
13,,,,建筑学（建筑历史与理论方向）,建筑文化遗产传承信息技术文化部重点实验室,,硕士,0.0,0.0
14,,,,风景园林学（风景园林历史理论与遗产保护方向）,中国传统村落与建筑遗产保护协同创新中心,,博士,0.0,0.0
15,,,,,中国文化遗产保护国际研究中心,,,0.0,0.0
16,,,,,天津市旧城区改造生态化技术工程中心,,,0.0,0.0
17,,,,,天津市中国传统村落与建筑遗产保护协同创新中心,,,0.0,0.0
18,,,,,建筑文化遗产传承信息技术文化部重点实验室,,,0.0,0.0
19,,华南理工大学,建筑学院,建筑学（建筑历史与理论、建筑遗产保护方向）,建筑历史文化研究中心,省级,硕士,113.367149,23.110704
20,,,,城市规划学（城乡发展历史与遗产保护规划方向）,,,博士,0.0,0.0
21,,,,风景园林学（风景园林历史文化与遗产保护方向）,,,,0.0,0.0
22,,哈尔滨工业大学,建筑学院,建筑学（中外建筑史论与遗产保护）,中俄中东铁路文化遗产保护创新研究中心,省级,硕士,126.632884,45.743721
23,,,,城市规划学（城乡历史文化保护规划理论）,,,博士,0.0,0.0
24,,,,风景园林学（风景园林历史理论与遗产保护）,,,,0.0,0.0
25,,浙江大学,艺术与考古学院,考古与文博系,,,,120.164517,30.292956
26,,,建筑工程学院,建筑设计与理论研究所,,,,0.0,0.0
27,,华中科技大学,建筑与城市规划学院,建筑学（建筑历史与理论方向）,,,,114.434479,30.511049
28,,重庆大学,建筑城规院,建筑学（建筑历史与理论方向）,,,,106.46773,29.561465
29,,西安建筑科技大学,建筑学院,历史建筑保护工程专业,,,,108.965222,34.239635
30,,北京林业大学,园林学院,园林学（园林历史与理论方向）,国家级园林实验教学示范中心,国家,本科,116.341404,40.002502
31,,,,,,,硕士,0.0,0.0
32,,,,,,,博士,0.0,0.0
33,,北京建筑大学,建筑学院,历史建筑保护工程专业,,,本科,116.341093,39.936144
34,,,,,,,硕士,0.0,0.0
35,,,,,,,博士,0.0,0.0
36,,大连理工大学,建筑与艺术学院,建筑学（建筑历史方向）,,,,121.529015,38.880379
37,,沈阳建筑大学,建筑与规划学院,建筑学（建筑遗产保护方向）,,,,123.51595,41.74323
38,,南京大学,建筑与城市规划学院,建筑学（建筑历史与理论方向）,,,,118.961365,32.110012
39,,武汉大学,,,,,,114.365248,30.53786
40,,湖南大学,,,,,,112.943119,28.177444
41,,四川大学,,,,,,104.083748,30.630869
42,,北京工业大学,建筑与城市规划学院,建筑学,北京市历史建筑保护工程技术研究中心,省级,,116.481374,39.877484
43,,,,,国家局木结构古建筑安全评估与灾害风险控制重点科研基地,国家级,,0.0,0.0
44,,合肥工业大学,,,,,,117.293767,31.846725
45,,山东建筑大学,建筑城规学院,建筑学（建筑保护方向）,,,,117.181744,36.686719
46,,深圳大学,建筑与城市规划学院,建筑学（建筑历史与遗产保护方向）,,,,113.935097,22.527939
47,,西南交通大学,建筑与设计学院,建筑学（世界遗产方向）,,,,103.445503,29.57567
48,,,,风景园林？,,,,0.0,0.0
49,,中央美术学院,建筑学院,建筑学（建筑历史与理论方向）,,,,114.375816,34.806561
50,,上海交通大学,,,,,,121.425413,31.206075
51,,厦门大学,,,,,,118.095414,24.436803
52,,华侨大学,建筑学院,建筑学（历史建筑保护研究方向）,,,,118.645264,24.934317
53,,青岛理工大学,,,,,,120.205632,35.973277
54,,昆明理工大学,,,,,,102.856572,24.852559
55,,安徽建筑大学,建筑与规划学院,建筑学（建筑史方向）,徽派建筑研究所,,,117.22809,31.74456
56,3.0,北京交通大学,建筑与艺术学院,建筑学（建筑遗产与景观方向）,,,硕士,116.33934,39.950612
57,,,,,,,博士,0.0,0.0
58,,吉林建筑大学,,,,,,125.407666,43.79522
59,,南京工业大学,,,,,,118.642381,32.077725
60,,福州大学,建筑与城乡规划学院,建筑学（建筑历史方向、建筑遗产保护方向）,,,,119.19505,26.057266
61,,内蒙古工业大学,,,,,,111.684173,40.847165
62,,苏州科技大学,建筑与城市规划学院,建筑历史与理论专业,,,,120.55703,31.265566
63,,,,城乡历史遗产保护规划专业风景园林遗产保护专业,,,,0.0,0.0
64,,郑州大学,建筑学院,建筑学（建筑文化方向）,,,,113.533269,34.820615
65,,西安交通大学,,,,,,108.98565,34.250189
66,,长安大学,,,,,,108.955053,34.228959
67,,湖南理工学院,土木建筑工程学院,历史建筑保护工程专业,,,,0.0,0.0
68,,南阳理工学院,建筑学院,历史建筑保护工程专业,,,,112.552877,32.967697
69,,华中科技大学,建筑与城市规划学院,建筑学（建筑历史与理论方向）,,,,114.434479,30.511049
70,,太原理工大学,建筑学院,建筑学（建筑遗产保护理论与方法方向）,山西省古建筑保护研究生联合基地,,,112.518158,37.859976
71,,苏州大学,建筑学院,历史建筑保护工程专业,,,,120.641182,31.302245
72,,西南交通大学,建筑与设计学院,建筑学（世界遗产方向）,,,,103.445503,29.57567
73,,山东大学,土建与水利学院,建筑学（建筑历史与遗产保护方向）,,,,117.059475,36.678325
74,,南京林业大学,风景园林学院,风景园林学（风景园林历史与理论方向）,江苏风景名胜资源与世界遗产保护研究所,,,118.816826,32.078682
75,,南昌大学,建筑工程学院,建筑系（建筑历史方向）,,,,115.802686,28.665028
76,,东北林业大学,,,,,,0.0,0.0
77,,福建农林大学,,,,,,119.238292,26.082845
78,,北方工业大学,,,,,,116.20649,39.929413
79,,华中农业大学,,,,,,114.356026,30.474377
80,,上海交通大学,,,,,,121.425413,31.206075
81,,浙江农林大学,,,,,,119.729509,30.233838
82,,中国矿业大学,,,,,,117.20002,34.221153
83,,浙江工业大学,,,,,,120.164168,30.290749
84,,南京工业大学,,,,,,118.642381,32.077725
85,,天津城建,,,,,,117.094626,39.09226
86,,中国美术学院,,,,,,117.181885,31.831751
87,,华中农业大学,,,,,,114.356026,30.474377
88,,湖北美术学院,,,,,,114.316684,30.549568
89,,云南大学,,,,,,102.700578,25.052952
90,,山东工艺美术学院,,,,,,117.041476,36.645523
91,,福建工程大学,,,,,,0.0,0.0
92,,四川美术徐学院,,,,,,104.075931,30.651651
93,,东北林业大学,,,,,,0.0,0.0
94,,青岛理工大学,,,,,,120.205632,35.973277
95,,四川农业大学,,,,,,103.861662,30.705207
96,,四川农林科技大学,,,,,,103.930683,30.752561
97,,西北农林科技大学,,,,,,108.078491,34.272434
98,,河南农业大学,,,,,,113.664109,34.784842
99,,中南林业科技大学,,,,,,116.347,40.007599
100,,华南农业大学,,,,,,113.360382,23.167627
101,,西南林业大学,,,,,,103.986214,30.699631
102,,河北农业大学,,,,,,0.0,0.0
103,,东北农业大学,,,,,,126.726219,45.743717
104,,南京农业大学,,,,,,118.839686,32.033444
105,,西南大学,,,,,,106.419098,29.820271
106,,沈阳农业大学,,,,,,123.570051,41.826563
107,,北华大学,,,,,,126.562866,43.810677
108,,江西农业大学,,,,,,115.834611,28.759635
109,,安徽农业大学,,,,,,117.256914,31.861863
110,,青岛农业大学,,,,,,120.395817,36.319084
111,,长江大学,,,,,,112.212776,30.334261
112,,海南大学,,,,,,110.328752,20.056739
