,建筑名称,位置,年代,研究方向,形制,专著,lon,lat
0,南禅寺大殿,忻州市五台县阳白乡李家庄,唐建中三年782,现存最早的特征、文物保护理念的发展（修缮——维修，两次修缮方案的对比）,,,113.123895,38.702889
1,广仁王庙正殿,运城市芮城县北中龙泉村北侧,唐,环境整治工程——地方古建保护创新（1958、2015）,,,110.685432,34.728603
2,佛光寺东大殿/文殊殿,,唐,唐代建筑特色-建筑特色、日本招提寺比较研究、尺度复原、构图比例、年代问题、殿堂铺作的特点,,,0.0,0.0
3,龙门寺西配殿/大雄宝殿,长治平顺县源头村龙门山,后唐/宋,现存唯一五代悬山建筑，建筑格局演变-一篇文章讲！浊漳河谷早期佛寺研究，历史最悠久、现存遗构、石刻数量最多、历时性最长,,,113.630644,36.377453
4,天台庵弥陀殿,长治平顺县王曲村,后唐,修缮工程能解决年代问题，壁画能释读,唐代形制无疑,2016《山西平顺天台庵》,113.406217,36.383232
5,大云院弥陀殿/七宝塔,长治平顺县实会村双峰山,后晋,,驼峰8种、最早使用了普拍枋，国内唯一五代壁画,,113.443453,36.358899
6,镇国寺万佛殿,晋中平遥县郝洞村,五代,彩塑，结构与装饰的统一性,殿宇小而用材大,2013《山西平遥镇国寺万佛殿与天王殿精细测绘报告》,112.27834,37.283494
7,玉皇庙前殿,长治市长子县慈林镇布村,五代or北宋晚期,,,2008《长治五代建筑新考》-2009《山西长子慈林镇布村玉皇庙》,112.941812,36.006373
8,碧云寺正殿,长治市长子县丹朱镇小张村,五代,,,2008《长治五代建筑新考》-2009《山西长子慈林镇布村玉皇庙》,112.847328,36.171603
9,崇明寺中佛殿,晋城市高平市东南圣佛山东麓郭家庄,北宋,大木尺度研究,补间铺作两跳跨三跳，物普拍枋、小殿用大材，宋殿唐风、小踩断粮结构详解,,113.021229,35.713139
10,游仙寺毗卢殿 ,晋城市高平市南宰李村西游仙山麓,北宋,,耍头与下昂一致、昂下出华头子最早的实例,,112.92157,35.730004
11,北吉祥寺前殿中殿,晋城市陵川县礼义镇西街村,北宋,,,维修设计综述,113.118303,35.797669
12,安禅寺藏经殿,晋中市太谷县城安禅寺,北宋早期,,平面布局保留唐风,,112.552841,37.425219
13,芮城城隍庙正殿,运城市芮城县永乐南街小西巷,北宋,,,芮城城隍庙大殿工程纪实,110.691483,34.686011
14,崇庆寺千佛殿、三大士殿,长治市长子县城东南紫云山山麓,北宋早期,,殿顶咸丰琉璃，宋代砖雕神台、宋塑之冠，四十二臂观音与净瓶观音像,尺度与技术分析,112.8779,36.122334
15,万荣稷王庙,运城万荣县太赵村北隅,宋,,唯一现存北宋庑殿顶,2016《山西万荣稷山王庙建筑考古研究》,110.779409,35.448486
16,晋祠圣母殿,太原晋祠景,北宋,,副阶周匝最早实例，盘龙柱实例、宋塑43尊,2000《太原晋祠圣母殿修缮工程报告》,112.440622,37.707563
17,兴梵寺大殿,晋中市祁县东观镇中学校园,北宋,,,,112.451401,37.387325
18,南吉祥寺前殿,晋城市陵川县礼仪镇平川村,北宋,,檐下斜拱的实例，内梁架通檐无柱,山西南部工程掠影,113.128191,35.77735
19,华严寺 薄伽教藏殿/大雄宝殿,大同市区西南隅,辽,,唯一辽代木构模型，辽代壁藏，辽塑像31尊-合掌露齿菩萨-殿内外斗拱8种（唐代风格）//现存最大辽金佛殿-正脊最大的琉璃吻兽，明二十诸天佳作！,2008《大同华严寺》,113.300129,40.076762
20,寿圣寺 正殿,临汾市乡宁县,宋代,,,,110.847021,35.970389
21,佛宫寺 释迦塔,朔州应县西北,辽,,现存年代最久、体量最大、木构楼阁式建筑,2001《应县木塔保护研究》,113.191099,39.554247
22,小会二仙庙正殿,晋城陵川县小会村,宋,全国优秀文物修缮工程-历史建筑信息模型、环境研究保护,宋代建筑风格,2018硕士论文《小会岭二仙庙修缮全过程设计、优化与评价》,113.169985,35.68151
23,余庆禅院正殿,运城夏县水头乡小晁村,宋,作为墓葬群组中的建筑-坟寺,八瓣海棠斗，胡孙头-耍头，双叉手,文章《山西省夏县司马光墓余庆禅院的建筑》,111.124069,35.194629
24,开化寺大殿/观音阁,晋城市高平市陈区镇王村舍利山腰,宋/金,,最大的宋代寺观壁画，营造法式彩画原图-彩绘图案全,2001《高平开化寺》-文章《山西高平开化寺测绘图》1983《开化寺宋代壁画》,113.03487,35.854296
25,府城玉皇庙玉皇殿,晋城泽州县金村镇北岗,宋,,元代二十八宿-海内孤品-28星宿琉璃脊饰,2006《府城玉皇庙》，硕论《山西府城玉皇庙调查与研究》,112.922177,35.507091
26,资圣寺毗卢殿,晋城高平市马村镇大周篡村,宋,,殿顶明代琉璃精品,,112.820615,35.728444
27,岱庙天齐殿,晋城泽州县南冶底村,宋,,金代青石雕花，元代鸱吻琉璃，古戏台,2019《泽州岱庙修缮竣工报告》2019《泽州岱庙》,112.734545,35.416876
28,东岳庙正殿 财神殿,晋城泽州县周村镇,宋,,,,112.629258,35.475216
29,原起寺大雄宝殿,长治市潞城黄牛蹄乡辛安村浊漳河,五代/宋？,,,文章《潞城原起寺大雄宝殿年代新考》,113.431521,36.352945
30,景德寺后殿,晋城市泽州县高都镇,宋,,,,112.957317,35.597533
31,青莲寺 释迦殿 藏经阁 观音阁,晋城市泽州县硖石山麓,北宋,泥塑彩绘修复,六椽袱上不用四椽袱，元代托举法改建底层，500罗汉名号碑,2007《珏山青莲寺》,112.899137,35.617221
32,金洞寺 转角殿,忻州市忻府区合索乡西呼延村,北宋,,,,112.565162,38.492931
33,龙门寺 大雄宝殿,长治市平顺县石头镇龙门山麓,北宋中期,,柱头坊上抹角梁——最早实例,,113.435961,36.200179
34,九天圣母庙 圣母殿,,,,,,0.0,0.0
35,,,,,,,0.0,0.0
36,,,,,,,0.0,0.0
37,,,,,,,0.0,0.0
38,,,,,,,0.0,0.0
39,,,,,,,0.0,0.0
40,,,,,,,0.0,0.0
41,,,,,,,0.0,0.0
42,,,,,,,0.0,0.0
43,,,,,,,0.0,0.0
44,,,,,,,0.0,0.0
45,,,,,,,0.0,0.0
46,,,,,,,0.0,0.0
47,,,,,,,0.0,0.0
48,,,,,,,0.0,0.0
49,,,,,,,0.0,0.0
50,,,,,,,0.0,0.0
51,,,,,,,0.0,0.0
52,,,,,,,0.0,0.0
53,,,,,,,0.0,0.0
54,,,,,,,0.0,0.0
55,,,,,,,0.0,0.0
56,,,,,,,0.0,0.0
57,,,,,,,0.0,0.0
58,,,,,,,0.0,0.0
59,,,,,,,0.0,0.0
60,,,,,,,0.0,0.0
61,,,,,,,0.0,0.0
62,,,,,,,0.0,0.0
63,,,,,,,0.0,0.0
64,,,,,,,0.0,0.0
65,山西省第六批省保建筑,,,,,,0.0,0.0
66,李庄藏山祠,阳泉市盂县西盘乡李庄村,元,,,,113.150785,38.298647
67,交口大王庙,阳泉市盂县仙人乡交口村,元,,,,113.607213,38.138729
68,师屯北广济寺,晋中市介休市义棠镇师屯北村,元,,,,111.839918,37.011881
69,郝北寿圣寺,晋中市榆社县郝北镇郝北村,宋,,,,112.961947,36.932679
70,下赤峪资福寺,晋中市榆社县河峪乡下赤峪村,元,,,,112.752326,37.073354
71,昔阳东岳庙大殿,晋中市昔阳县城区大街村,元,,,,113.706875,37.61121
72,纂木皇恩寺,晋中市寿阳县西洛镇纂木村,元,,,,113.005905,37.670824
73,石家庄龙天庙,吕梁市汾阳市栗家庄乡石家庄村,元,,,,111.742063,37.258237
74,东石龙天庙,吕梁市汾阳市三泉镇东石村,元,,,,111.658625,37.215209
75,南赵郡佛殿,吕梁市汾阳市栗家庄南赵郡村,元,,,,111.638394,37.297721
76,南垂府君庙,长治市潞州区老顶山镇南垂村,元,,,,113.167746,36.248521
77,西长井灵泽王庙,长治市潞州区老顶山镇西长井村,元,,,,113.190754,36.16469
78,北宋玉皇庙,长治市上党区南宋乡北宋村,元,,,,113.073946,35.94105
79,东呈古佛堂,长治市上党区韩店镇东呈村,元,,,,113.038583,36.082397
80,李坊洪福寺,长治市上党区荫城镇李坊村,元,,,,113.088919,35.99661
81,赵村观音庙,长治市上党区南宋乡赵村,元,,,,113.057462,35.93708
82,东天贡玉庙,长治市潞城区翟殿镇东天贡村,元,,,,113.158873,36.287715
83,北庄唐太宗神庙,长治市长子县丹朱镇北庄村,元,,,,112.856723,36.127434
84,两水护国灵贶王庙,长治市长子县大堡头镇两水村,元,,,,112.900906,36.083897
85,崇瓦张三嵕庙,长治市长子县慈林镇崇瓦张村,元,,,,112.881632,36.003701
86,南鲍汤王庙,长治市长子县丹朱镇南鲍村,元,,,,112.926209,36.09348
87,柳树紫薇庙,长治市长子县大堡头镇柳树村,元,,,,112.914746,36.050311
88,青仁二仙庙,长治市长子县大堡头镇青仁村,元,,,,112.867454,36.050613
89,王郭三嵕庙,长治市长子县宋村乡王郭村,金,,,,112.95711,36.12128
90,西上坊成汤王庙,长治市长子县丹朱镇西上坊村,金,,,,112.903217,36.097177
91,岳阳广化寺,长治市长子县石哲镇岳阳村,元,,,,112.732155,36.101701
92,大南石千佛寺,长治市长子县南陈乡大南石村,元,,,,112.778873,36.086554
93,善村龙王庙,长治市长子县南陈乡善村,元,,,,112.776396,36.037238
94,壁村三嵕庙,长治市长子县常张乡壁村,元,,,,112.788683,36.153275
95,东旺庄二仙真人庙,长治市壶关县龙泉镇骞堡村,元,,,,113.184896,36.138523
96,南五马卫公庙,长治市平顺县苗庄镇南五马村,元,,,,113.30397,36.193113
