,id,typecode,value
0,1,050201,1
1,1,020000,2
2,1,050100,7
3,1,050123,1
4,1,050118,2
5,1,050115,1
6,1,060000,8
7,1,050500,3
8,1,050000,8
9,1,050108,1
10,1,050300,5
11,2,061400,1
12,2,070500,1
13,3,170206,1
14,3,170202,2
15,3,170000,5
16,3,170201,1
17,3,190302,6
18,3,190301,5
19,3,170200,29
20,3,190403,1
21,4,170000,3
22,4,170200,13
23,4,170204,1
24,5,070500,1
25,6,991400,6
26,6,991000,1
27,7,190403,2
28,7,190302,2
29,8,991400,3
30,8,190302,8
31,9,071300,2
32,9,120000,1
33,9,120302,2
34,9,090300,1
35,9,090602,2
36,9,071100,7
37,9,071500,2
38,9,090400,1
39,9,100105,1
40,9,090000,2
41,9,120303,1
42,9,141400,3
43,9,072101,7
44,9,140000,1
45,9,090601,1
46,9,140800,1
47,9,070000,5
48,10,150909,3
49,10,150906,6
50,10,150900,3
51,10,150904,9
52,10,170202,1
53,10,160000,10
54,10,170203,1
55,10,150907,1
56,10,141400,1
57,10,160119,1
58,10,141204,1
59,10,150700,4
60,10,170200,6
61,10,160316,1
62,10,140000,2
63,10,150908,1
64,11,071300,5
65,11,060200,3
66,11,170200|070700,1
67,11,141400,1
68,11,080000,1
69,11,080305,1
70,11,141300,3
71,11,130000,2
72,11,071100,1
73,11,141204,1
74,11,060800,2
75,11,060600,1
76,11,060102|170200,1
77,11,061202,1
78,11,120000,1
79,11,061200,3
80,11,071600,1
81,11,080300,1
82,11,130407,1
83,11,141201,1
84,11,090000,2
85,11,070500,13
86,11,140000,13
87,11,070000,25
88,11,120100,5
89,11,060000,11
90,11,072101,4
91,11,120201,13
92,11,090602,1
93,11,100100,1
94,12,991400,9
95,13,170202,1
96,13,170000,12
97,13,170201,1
98,13,170300,1
99,13,170200,61
100,14,170200,4
101,15,150700,2
102,16,170207,1
103,16,170000,2
104,16,170200,4
105,18,170202,1
106,18,170204,1
107,18,170000,6
108,18,170201,1
109,18,170200,27
110,18,170100,2
111,19,170000,9
112,19,170200,39
113,19,170201,3
114,20,050100,11
115,20,010400,1
116,20,060200,3
117,20,060603,1
118,20,030000,1
119,20,991001,4
120,20,050500,1
121,20,050600,2
122,20,060300,1
123,20,060400,1
124,20,050115,1
125,20,061210,4
126,20,050800,2
127,20,050101,1
128,20,030100,1
129,20,050119,1
130,20,050000,4
131,20,060600,1
132,20,050108,1
133,20,050300,1
134,20,991400,10
135,20,061200,1
136,20,050121,1
137,20,050118,2
138,20,060501,1
139,20,050117,1
140,20,010000,2
141,20,060604,1
142,20,060305,2
143,20,060000,9
144,21,170200,2
145,22,150905,1
146,22,150904,3
147,23,200100,2
148,23,991400,5
149,24,160400,1
150,24,150904,1
151,24,160000,3
152,24,160107,1
153,24,160106,1
154,24,160100,1
155,25,160302,1
156,25,150909,1
157,25,150904,8
158,25,150900,2
159,25,160000,1
160,25,150907,3
161,25,150905,2
162,25,160119,1
163,25,150700,1
164,25,160306,1
165,25,150908,3
166,26,050100,9
167,26,050400,1
168,26,050305,2
169,26,050103,1
170,26,050118,6
171,26,050700,1
172,26,050800,1
173,26,050500,1
174,26,050202,1
175,26,050000,16
176,26,050108,1
177,26,050300,6
178,27,170200,5
179,28,141300,2
180,28,150909,1
181,28,150906,1
182,28,150904,1
183,28,141100,1
184,28,141400,6
185,28,141500,1
186,28,150700,12
187,28,140000,16
188,29,991400,7
189,30,991400,3
190,32,150909,2
191,32,150906,6
192,32,150900,4
193,32,150904,8
194,32,150907,1
195,32,150908,3
196,33,160000,3
197,33,160400,1
198,34,060200,2
199,34,061101,1
200,34,070800,1
201,34,060603,2
202,34,061210,1
203,34,060000,1
204,34,061400,1
205,34,070500,25
206,34,070000,5
207,35,080304,1
208,35,072101,9
209,35,070501,1
210,35,080500,2
211,35,070800,1
212,35,071100,7
213,35,080306,1
214,35,070500,1
215,35,080100,2
216,35,080000,3
217,35,070000,7
218,36,190301,10
219,36,190302,5
220,36,190403,6
221,36,190204,1
222,37,170206,2
223,37,170201,1
224,37,170200,4
225,37,170204,1
226,38,160400,1
227,38,160000,5
228,38,160500,2
229,38,160304,1
230,38,160303,1
231,39,061200,2
232,39,060200,3
233,39,060501,1
234,39,060306,1
235,39,060605,1
236,39,061210,1
237,39,060000,12
238,39,060800,1
239,39,061209,1
240,40,170200,3
241,41,130506,1
242,41,141300,1
243,41,120000,7
244,41,140300,1
245,41,120302,1
246,41,120202,1
247,41,130407,4
248,41,130000,3
249,41,130502,2
250,41,130400,1
251,41,130100,3
252,41,140200,1
253,41,140400,1
254,41,120100,4
255,41,120201,14
256,41,130104,1
257,41,140800,1
258,41,140500,1
259,42,170206,3
260,42,170204,1
261,42,170208,1
262,42,170000,7
263,42,170200,20
264,43,170200,3
265,44,120201|120100,1
266,44,090202,1
267,44,120302,2
268,44,080300,1
269,44,090300,1
270,44,100000,2
271,44,090000,3
272,44,120100,1
273,44,090200,1
274,44,120201,1
275,44,110101,1
276,44,090601,3
277,44,100100,3
278,45,170100,2
279,45,170206,2
280,45,170200,4
281,46,050100,3
282,46,160000,1
283,46,170201,2
284,46,030000,4
285,46,200000,1
286,46,991401,1
287,46,160316,1
288,46,190403,7
289,46,030100,3
290,46,991400,10
291,46,190310,1
292,46,050113,1
293,46,050118,1
294,46,170000,3
295,46,190302,9
296,46,170200,9
297,46,200300,2
298,46,010000,1
299,46,011100,3
300,46,170206,2
301,46,160300,1
302,49,071300,1
303,49,070501,2
304,49,070000,26
305,49,071600,2
306,49,071100,1
307,49,070500,20
308,49,070400,1
309,49,071800,1
310,50,170204,1
311,50,170000,34
312,50,170203,1
313,50,170200,101
314,50,170207,3
315,51,050100,10
316,51,050123,1
317,51,060200,2
318,51,060703,1
319,51,060603,1
320,51,060704,1
321,51,050500,2
322,51,050600,1
323,51,061209,1
324,51,060300,1
325,51,060400,2
326,51,061100,2
327,51,061210,1
328,51,050000,8
329,51,060102,1
330,51,050300,1
331,51,061202,1
332,51,061200,2
333,51,061205,1
334,51,050118,1
335,51,050103,1
336,51,060305,2
337,51,060000,14
338,51,060606,1
339,52,150909,2
340,52,150906,2
341,52,150900,2
342,52,150904,8
343,52,150907,1
344,52,150905,1
345,53,190403,17
346,53,190302,27
347,55,991400,3
348,56,170206,1
349,56,170000,17
350,56,170200,36
351,58,160301,1
352,58,190310,1
353,58,150909,1
354,58,170202,3
355,58,150904,6
356,58,190000,3
357,58,170000,5
358,58,150905,3
359,58,190301,2
360,58,190302,16
361,58,200100,1
362,58,200400,3
363,58,160104,1
364,58,170200,16
365,58,200300,1
366,58,150908,3
367,58,190403,21
368,59,070200,1
369,59,071300,2
370,59,150906,5
371,59,130505,1
372,59,080119,1
373,59,070100,1
374,59,130400,1
375,59,141400,9
376,59,060603,2
377,59,130501,1
378,59,080100,1
379,59,130104,1
380,59,150908,1
381,59,141300,1
382,59,130000,3
383,59,071100,12
384,59,150907,3
385,59,080112,1
386,59,140500,1
387,59,071400|100100,1
388,59,120303,1
389,59,130500,2
390,59,130601,1
