GID,typeCode,count
3,170200,4
3,170000,1
4,170200,12
4,170000,9
4,170204,1
4,190301,2
4,190302,5
4,190403,3
4,200000,1
4,991400,2
4,010400,1
4,010000,2
4,010800,1
4,030000,1
4,050108,2
4,050100,3
4,050300,1
4,050118,1
4,050000,1
5,170000,59
5,010000,3
5,170400,3
5,180200,4
5,120000,6
5,120303,2
5,130000,3
5,140000,8
5,150500,5
5,190301,19
5,110200,15
5,991400,31
5,011100,3
5,080501,2
5,100100,2
5,110000,1
5,120301,2
5,140200,1
5,170200,172
5,190307,7
5,200300,4
5,080502,6
5,030000,3
5,050000,10
5,060000,25
5,070500,10
5,130100,3
5,160500,1
5,170300,2
5,190302,16
5,190304,2
5,190305,2
5,010800,2
5,050100,23
5,050300,12
5,050108,2
5,050121,2
5,060200,22
5,060400,3
5,060704,2
5,061200,6
5,060603,4
5,120100,9
5,170207,1
5,190108,4
5,100000,3
5,190204,2
5,141204,2
5,150906,2
5,050118,1
5,070000,18
5,070501,1
5,080302,1
5,100103,1
5,130407,1
5,150700,6
5,150904,11
5,170204,10
5,170206,5
5,190403,6
5,070306,1
5,080000,2
5,110202,1
5,120302,4
5,170407,1
5,190000,1
5,991401,2
5,991000,1
5,010901,1
5,050102,2
5,060300,1
5,071100,2
5,071200,3
5,090000,2
5,090602,1
5,120304,1
5,130106,5
5,130400,1
5,130506,1
5,141500,1
5,150900,1
5,050900,1
5,061209,1
5,110101,1
5,120300,2
5,130601,1
5,160000,2
9,170200,1
10,170000,2
12,160000,1
12,170200,2
13,170200,3
14,170000,1
15,170000,1
16,170200,1
17,170200,8
17,170000,2
17,170300,1
18,050000,7
18,050700,2
18,050112,1
18,050300,7
18,050100,16
18,050108,1
18,050118,3
18,050121,1
18,050900,1
22,170200,2
22,170000,1
22,170300,1
23,170200,5
23,170000,2
24,170200,7
25,170200,1
25,170300,1
26,170000,1
26,170200,3
26,170204,1
27,170000,1
29,170000,2
29,170200,3
29,170300,1
30,170200,5
30,170000,1
32,050100,31
32,050118,6
32,050300,25
32,050000,13
32,050108,3
32,050102,4
32,050600,1
32,050121,1
32,050112,2
32,050119,1
32,050123,3
32,050200,1
32,060200,40
32,060400,7
32,060102,1
32,060000,24
32,060600,3
32,060603,6
32,060305,1
32,060306,3
32,060800,1
32,061210,1
32,061100,1
32,060501,1
32,061101,1
32,061400,1
32,070500,12
32,070000,23
32,070800,1
32,071800,2
32,070300,1
32,071100,5
32,071200,3
32,071300,1
32,072101,3
32,080000,2
32,080308,6
32,080302,1
32,080113,1
32,090601,6
32,090300,3
32,100100,1
32,100000,4
32,100200,2
32,120100,20
32,120302,3
32,120000,6
32,130100,5
32,130000,4
32,140000,4
32,150700,6
32,150904,3
32,150900,1
32,160301,1
32,160400,1
32,160000,1
32,170200,24
32,170000,8
32,170206,1
33,170200,3
34,170200,3
35,170200,2
42,070000,16
42,071100,6
42,070500,2
42,070300,1
42,071200,2
42,072101,13
42,080304,2
42,080302,2
42,080601,1
42,080308,8
42,080300,2
42,080000,2
42,090300,6
42,090601,8
42,090202,1
42,090000,2
42,090102,1
42,100103,1
42,100105,1
42,100100,2
42,100200,11
42,100000,3
42,120100,22
42,120302,2
42,120300,2
42,120201,1
42,120000,5
42,120303,2
42,130503,1
42,130000,5
42,130100,1
42,130504,1
42,140500,1
42,141400,7
42,141500,3
42,140000,3
42,150500,1
42,150700,5
42,150904,11
42,150909,2
42,150900,2
42,160104,1
42,160106,1
42,160107,1
43,170200,43
43,170000,14
43,170201,1
45,170200,20
45,170000,4
46,170000,6
46,170200,12
47,060200,53
47,060703,1
47,060305,3
47,060000,32
47,061200,4
47,060400,4
47,061100,7
47,060704,1
47,060600,2
47,060306,3
47,060603,12
47,060501,2
47,060305|070000,1
47,061102,2
47,061207,1
47,060300,2
47,061100|061200,1
48,050118,1
48,050000,2
49,050300,3
49,050000,1
49,050100,6
49,050102,1
49,060200,4
49,060102,2
49,061000,1
49,060000,8
49,060305,1
49,061200,2
49,061204,1
49,060704,3
49,060706,8
49,060306,1
49,060400,1
49,060500,1
50,170200,3
50,170000,1
50,170204,1
51,170200,3
52,170200,5
52,170000,1
54,060603,1
54,061200,1
55,190403,18
55,200300,1
55,200200,1
55,991400,40
55,990000,1
55,991000,3
55,010800,1
55,010000,2
55,011100,1
55,050100,14
55,050000,2
55,050900,1
55,050123,2
55,050108,1
55,050300,1
56,170206,6
56,170200,88
56,170000,15
56,170207,1
56,170204,4
56,170100,1
56,170203,1
56,170300,1
57,150904,3
57,150900,2
58,050100,41
58,050300,15
58,050000,31
58,050118,3
58,050117,2
58,050700,1
58,050102,1
58,050121,1
58,050123,1
58,060102,1
58,061210,2
58,060700,1
58,060200,4
58,061200,5
58,060000,6
58,060400,2
58,060603|061200,1
58,060704,1
58,060600,1
58,060703,2
58,060305,1
59,060200,7
59,060306,1
59,060305,2
59,060000,2
59,061400,2
59,060603,2
59,060415|060200,1
59,070500,6
59,170200|070500,1
59,070501,1
59,070000,37
59,071800,4
59,071300,3
59,071200,2
59,071400,2
59,070400,1
59,170201|070000,1
59,071100,1
59,071500,1
59,141500|070000,1
60,070000,27
