,id,parent,name,tag,typecode,biz_type,lng,lat,citycode,adcode,shopinfo,gridcode,navi_poiid,entrance_lng,entrance_lat,business_area,exit_lng,exit_lat,indoor_map,indoor_cpid,indoor_floor,indoor_truefloor,indoor_cmsid,biz_rating,biz_cost
969,B0FFHNWIC3,,菜鸟驿站(博文文化交流中心102311007),,070500,,115.560426949832,39.972270976485895,10,110109,0,5915746520,,,,,,,0,,,,,,
2181,B0FFH5HTJG,,中通&圆通&汇通&韵达快递,,070500,,115.58964850701,39.645130193053,10,110111,0,5915347711,J50F005013_8125,,,,,,0,,,,,,
2846,B0FFIKDD8Z,,菜鸟驿站(清水晓兵商店102311003),,070500,,115.61739446797701,39.943654156310394,10,110109,0,5915743912,,,,,,,0,,,,,,
3272,B000A888XH,,西宝煤矿煤炭运输车队,,070500,,115.640182993669,39.9364810904504,10,110109,0,5915752112,J50F001014_979,,,,,,0,,,,,,
4587,B000A87WIL,,张坊农副产品物流中心,,070500,,115.708286272932,39.5691973880189,10,110111,0,5915258710,J50F006014_1057,116.00165843140499,39.7033231112407,,,,0,,,,,,
4597,B0FFFXTP1C,,天天快递(房易路),,070500,,115.706103409214,39.5700963335225,10,110111,0,5915258612,,,,,,,0,,,,,,
4618,B0FFH5PG8B,,菜鸟驿站,,070500,,115.704087472594,39.5706872194471,10,110111,0,5915258612,,,,,,,0,,,,,,
6071,B000A886IV,,北京市门头沟区农药配送站,,070500,,115.76927746410801,39.9942117341635,10,110109,0,5915769210,J50F001015_53,,,,,,0,,,,,,
6290,B0FFHNWI8K,,菜鸟驿站(房山区大安山所102419001),,070500,,115.78538163692,39.8851986633169,10,110111,0,5915666310,,,,,,,0,,,,,,
6476,B0FFJO7DLR,,优速快递,,070500,,115.791077578374,39.5428188470179,10,110111,0,5915265302,,,,,,,0,,,,,,
7042,B000A9EU5U,,北京林安现代商贸物流园,,070500,,115.82161962864099,39.5512903498236,10,110111,0,5915266600,J50F006015_521,116.082343196426,39.9387300793882,,,,0,,,,,,
10684,B0FFJON170,,申通快递,,070500,,115.88780278136998,40.3742335533787,10,110119,0,6015475101,,,,康庄,,,0,,,,,,
10685,B0FFJOIUL3,,远成快运,,070500,,115.887463287571,40.37473419523421,10,110119,0,6015475101,,,,康庄,,,0,,,,,,
10687,B0FFFADJL0,,圆通快递(汇通路店),,070500,,115.88639301731001,40.373715871391504,10,110119,0,6015474121,K50F044016_2986,,,康庄,,,0,,,,,,
10688,B0FFHJ1GD5,,百世汇通,,070500,,115.88642606020599,40.3737248892711,10,110119,0,6015474121,,,,康庄,,,0,,,,,,
10992,B0FFHNWJ5Y,,菜鸟驿站(军平顺发综合商店102115006),,070500,,115.889919454272,40.5007842611051,10,110119,0,6015670102,,,,,,,0,,,,,,
11236,B0FFFADX0F,,百世快递,,070500,,115.896771407472,39.581298218684395,10,110111,0,5915279220,J50F006016_2893,116.132076466002,39.7235777987622,,,,0,,,,,,
11394,B0FFG58QDI,,韵达快递(韩村河收派点),,070500,,115.902573613402,39.60900314871621,10,110111,0,5915373202,,,,,,,0,,,,,,
13202,B0FFG8VXJV,,圆通速递,,070500,,115.92013128314699,39.7111352394329,10,110111,0,5915475410,J50F004016_12375,,,,,,0,,,,,,
13789,B0FFGY7USO,,圆通速递公司,,070500,,115.94267294667802,39.59832307697671,10,110111,0,5915371522,,,,,,,0,,,,,,
14280,B0FFGNFDZQ,,圆通速递,,070500,,115.93601598559201,39.679382199276795,10,110111,0,5915471511,,,,,,,0,,,,,,
14284,B0FFGNFHMP,,韵达快递(周口店路),,070500,,115.936626855195,39.6812679567915,10,110111,0,5915471521,,,,,,,0,,,,,,
14366,B0FFHPRQG5,,优速快递(周口店自提点),,070500,,115.932818709541,39.6848359876455,10,110111,0,5915472500,,116.152333033239,39.7612782275024,,,,0,,,,,,
14368,B0FFGHAPP2,,菜鸟驿站(北京宋丹玉百货商店),,070500,,115.93274782243,39.684655114499996,10,110111,0,5915472500,,,,,,,0,,,,,,
14451,B0FFJN7DB6,,丰巢快递柜,,070500,,115.93860902029499,39.73690307987521,10,110111,0,5915478511,,,,燕山,,,0,,,,,,
14453,B0FFIK3438,B000A9E7C5,E栈快递柜,,070500,,115.938917511619,39.7370095620504,10,110111,0,5915478511,,,,燕山,,,0,,,,,,
14589,B0FFFAC3H5,,圆通速递(李各庄路),,070500,,115.933347969746,39.8165775978679,10,110111,0,5915578500,J50F003016_1481,,,,,,0,,,,,,
14646,B0FFHNWIBZ,,菜鸟驿站(婷雅增富服装店102303001),,070500,,115.932694571415,39.957293449148295,10,110109,0,5915775500,,,,,,,0,,,,,,
14662,B000A887YJ,,大台物流中心,,070500,,115.936140664347,39.9667140586091,10,110109,0,5915776501,J50F001016_421,116.15976928141701,39.8509450261391,,,,0,,,,,,
15235,B0FFKJEEF9,,顺丰速运,,070500,,115.935482362841,40.4352909998936,10,110119,0,6015572510,,,,,,,0,,,,,,
16036,B0FFG59Z3C,,申通快递(京周路),,070500,,115.94766871626301,39.6771460628402,10,110111,0,5915471610,,116.173304163578,39.9036490900046,,,,0,,,,,1.0,
16349,B0FFJ4G7A0,B000A9NVPP,丰巢自提柜,,070500,,115.948887771629,39.721446139461996,10,110111,0,5915476621,,,,燕山,,,0,,,,,,
16384,B0FFHVH4V5,,快鸟驿站,,070500,,115.946909293555,39.7261064886766,10,110111,0,5915477600,,,,迎风,,,0,,,,,,
16386,B0FFHNWI8M,,菜鸟驿站(迎风街邮政支局102500004),,070500,,115.94739477236,39.722295020038295,10,110111,0,5915476620,,,,迎风,,,0,,,,,,
16388,B0FFI5DJZW,B000A9O2PM,丰巢快递柜,,070500,,115.94840711756399,39.72689341655021,10,110111,0,5915477611,,,,迎风,,,0,,,,,,
16391,B0FFIKDD7S,,菜鸟驿站(房山区迎风投递部102599001),,070500,,115.94739477236,39.722295020038295,10,110111,0,5915476620,,,,迎风,,,0,,,,,,
16394,B0FFIZFFZB,B000A9O428,E站快递柜,,070500,,115.950867547685,39.72099710722271,10,110111,0,5915476611,,,,燕山,,,0,,,,,,
16397,B0FFI9C6IJ,B000A9O3QX,E栈快递柜,,070500,,115.94719657932899,39.7271867890677,10,110111,0,5915477610,,,,迎风,,,0,,,,,,
16400,B0FFIKDZJW,,菜鸟驿站(燕山幸福新村燕化医院右侧亿源超市),,070500,,115.94735239561399,39.7260906198298,10,110111,0,5915477600,,,,迎风,,,0,,,,,,
16414,B0FFHGFVKJ,,中通快递北京燕山分部,,070500,,115.944324152834,39.7277392164589,10,110111,0,5915477610,J50F004016_40738,,,迎风,,,0,,,,,,
16850,B0FFFY52FL,,全峰快递(凤凰亭路),,070500,,115.950214757688,39.730992210082995,10,110111,0,5915477621,J50F004016_12890,,,迎风,,,0,,,,,,
16852,B0FFHEIIRB,,韵达快递,,070500,,115.950105984329,39.7310734259763,10,110111,0,5915477621,,,,迎风,,,0,,,,,,
16859,B0FFG8S0N6,,北京盛泰达物流有限公司,,070500,,115.952756718142,39.73390645801421,10,110111,0,5915478602,J50F004016_12145,,,燕山,,,0,,,,,,
16865,B0FFFYJRUN,B000A9PRFB,中通快递(迎风街),,070500,,115.94943074582301,39.72857412712969,10,110111,0,5915477611,J50F004016_12952,,,迎风,,,0,,,,,,
17083,B0FFG8F0BK,,北京燕山屹燕运输有限公司,,070500,,115.952873908928,39.738322677644895,10,110111,0,5915478622,J50F004016_11941,116.178907617864,39.7911015134713,燕山,,,0,,,,,,
17119,B0FFG8VJ5G,,北京燕山恒润运输有限公司,,070500,,115.953147295858,39.7626944126418,10,110111,0,5915571612,J50F003016_1823,,,燕山,,,0,,,,,,
17120,B0FFG8F5JS,,北京燕山东方红运输有限公司,,070500,,115.952771192005,39.7624512553748,10,110111,0,5915571612,J50F003016_1825,116.178891894358,39.8056370974762,燕山,,,0,,,,,,
18145,B0FFHCH4ZV,,京东快递,,070500,,115.950965098708,40.4637521889293,10,110119,0,6015575621,,,,,,,0,,,,,,
18521,B0FFI5U58X,,申通快递(韩村河分公司),,070500,,115.963383187884,39.6012755029018,10,110111,0,5915372701,,116.178698257269,39.931416694576995,,,,0,,,,,,
18573,B0FFJO7ALY,,壹米滴答,,070500,,115.958021167379,39.6100665108754,10,110111,0,5915373710,,,,,,,0,,,,,,
18878,B0FFHRJ154,,北京宏缘顺达货物运输有限公司,,070500,,115.96606741244,39.6776407191528,10,110111,1,5915471712,,,,,,,0,,,,,,
19285,B0FFJZSBM5,,申通快递,,070500,,115.958886135149,39.7233828508262,10,110111,0,5915476720,,,,迎风,,,0,,,,,,
19287,B0FFIFDTWY,B0FFFCQV0C,丰巢自提柜,,070500,,115.962064847482,39.7231331981939,10,110111,0,5915476721,,,,迎风,,,0,,,,,,
19296,B0FFFYLE6B,B0FFFCZAUM,圆通速递(迎风南路),,070500,,115.96133601168002,39.7213192207097,10,110111,0,5915476721,J50F004016_12577,116.196778819566,39.7507527944121,迎风,,,0,,,,,,
19307,B0FFGQ0KNM,,菜鸟驿站(中捷代购0012北庄店爱尚诗雪美容中心),,070500,,115.96227327025998,39.7232816648032,10,110111,0,5915476721,,,,迎风,,,0,,,,,,
19334,B0FFH9N77F,,菜鸟驿站(杰辉苑赛维干洗店),,070500,,115.958597185415,39.7208188648379,10,110111,0,5915476710,,116.197020915771,39.759073785801895,迎风,,,0,,,,,,
19340,B0FFIPNNT7,,E栈快递箱,,070500,,115.95513640305,39.72354249058221,10,110111,0,5915476622,,,,迎风,,,0,,,,,,
19341,B0FFIK46QP,B000A9NUIZ,前丰巢快递柜,,070500,,115.955136402928,39.7235434904546,10,110111,0,5915476622,,,,迎风,,,0,,,,,,
19783,B0FFIBGWLM,B000A9NQTL,前丰巢快递柜,,070500,,115.959421076922,39.753460040732,10,110111,0,5915570710,,,,燕山,,,0,,,,,,
20059,B0FFFACZGW,,羊耳峪投递部,,070500,,115.962504419111,39.757753085623605,10,110111,0,5915571701,J50F003016_1579,,,燕山,,,0,,,,,,
20065,B0FFK8AUB5,B000A9NX31,中通快递处,,070500,,115.956782260755,39.757331815648996,10,110111,0,5915571700,,116.191370425581,39.905402512723896,燕山,,,0,,,,,,
20077,B0FFFACZ3W,,运利通运输有限公司(燕山分公司),,070500,,115.96055068380801,39.7571859299336,10,110111,0,5915570720,J50F003016_1544,,,燕山,,,0,,,,,,
20086,B0FFG8VJMJ,,星水友联东顺达部冷食配送中心,,070500,,115.955577115032,39.758070489432505,10,110111,0,5915571602,J50F003016_1836,,,燕山,,,0,,,,,,
20565,B0FFF5476E,,申通快递(申通八达岭西拨子),,070500,,115.958939582873,40.3628255251465,10,110119,0,6015473720,,,,八达岭,,,0,,,,,,
22398,B0FFJO7D7U,,申通快递,,070500,,115.97409709769501,39.642077573524396,10,110111,0,5915377801,,,,,,,0,,,,,,
22406,B0FFIMFHYF,,中通快递北京石楼公司,,070500,,115.974230112109,39.646785305002105,10,110111,0,5915377821,,,,,,,0,,,,,,
