,id,parent,name,tag,typecode,biz_type,lng,lat,citycode,adcode,shopinfo,gridcode,navi_poiid,entrance_lng,entrance_lat,business_area,exit_lng,exit_lat,indoor_map,indoor_cpid,indoor_floor,indoor_truefloor,indoor_cmsid,biz_rating,biz_cost
34563,B0FFH7M345,,配购网(延庆分仓),,070501,,115.985087881141,40.4797236531223,10,110119,0,6015577920,K50F043016_239455,116.253270300521,39.902472927679796,,,,0,,,,,,
35132,B0FFGDYHA8,,红光建材仓储中心,,070501,,116.000092713828,39.7023797928523,10,110111,0,5916404011,,,,房山城关,,,0,,,,,,
83930,B0FFHC9RDU,,申通云岗公司库房,,070501,,116.14475548290301,39.8500436286215,10,110106,0,5916612200,,,,,,,0,,,,,,
84963,B0FFJZV0JM,,北京金东方物流苏家坨仓库,,070501,,116.136508614897,40.0796494977327,10,110108,0,6016019121,,,,,,,0,,,,,,
91628,B0FFF9PQ88,,北京恒源福来仓储服务中心,,070501,,116.149119079475,39.86166208507,10,110106,0,5916613211,J50F002018_213476,,,,,,0,,,,,,
92734,B0FFJKNR0I,,北京绿色食品配送中心,,070501,,116.156791155728,40.0375676598793,10,110108,0,6016014320,,,,,,,0,,,,,,
111809,B0FFFADIQ1,,祥龙客运场站经营公司赵辛店仓储分公司,,070501,,116.192698378952,39.8100053898606,10,110106,0,5916517512,J50F003018_134569,116.346650366709,39.9192036234475,长辛店,,,0,,,,,,
125804,B0FFHXZCK4,,长辛店火车站货场,,070501,,116.200760592293,39.8332309575972,10,110106,0,5916610601,,116.35551679107901,40.0619465858097,长辛店,,,0,,,,,,
133468,B0FFJKHCTI,,海淀物流基地义成物流园,,070501,,116.19537087582,40.1230520403124,10,110108,0,6016114620,,,,,,,0,,,,,,
133472,B0FFJKI68T,,北京文惠仓储中心,,070501,,116.205084421532,40.1220733568545,10,110108,0,6016114622,,,,,,,0,,,,,,
171533,B0FFFGZP6O,,北京天地宽物流有限公司,,070501,,116.241168471389,40.113285585497714,10,110114,0,6016113922,K50F047018_3585,,,沙河,,,0,,,,,,
171534,B0FFIOVN05,,北京南方日日达物流有限公司,,070501,,116.238021743265,40.114921287835,10,110114,0,6016113921,,,,沙河,,,0,,,,,,
194992,B0FFG72VRA,,瑞澳储运中心,,070501,,116.258891170136,39.817865615498,10,110106,0,5916528100,J50F003019_236310,,,,,,0,,,,,,
238457,B0FFGOE9TU,,北京佳联亿通仓储运营部,,070501,,116.287440384308,39.703708033281,10,110115,0,5916424311,,,,,,,0,,,,,,
238613,B0FFG8VYFE,,北京路和物流仓储,,070501,,116.284460535359,39.7117137054241,10,110115,0,5916425310,J50F004019_240349,,,,,,0,,,,,,
344816,B0FFG3YGVL,B000A81I2U,北京体育大学田径器材库,,070501,,116.31160331357401,40.023202754182,10,110108,0,6016022521,,,,上地,,,0,,,,,,
365011,B0FFGIFWSU,,E库房,,070501,,116.31485459661998,39.7973421619276,10,110106,0,5916525522,,,,,,,0,,,,,,
419047,B0FFKHA68I,,北京兄弟永发配送中心,,070501,,116.33200593636002,39.8203767888963,10,110106,0,5916528710,,,,,,,0,,,,,,
421981,B0FFFYTUQ7,,京泉仓储,,070501,,116.335575800086,39.8520789452962,10,110106,0,5916622711,J50F002019_379779,,,,,,0,,,,,,
448924,B0FFG39XZ0,B000A7BD6C,清华大学化学品库,,070501,,116.328578632833,40.0043796055719,10,110108,0,6016020622,K50F048019_282135,,,,,,0,,,,,3.0,
459867,B0FFH901UM,,家电批发基地,,070501,,116.33043816183701,40.163542547788296,10,110114,0,6016129622,,,,百善,,,0,,,,,,
461347,B0FFGKWZH4,,圆通仓配一体(北京大兴仓),,070501,,116.338472900664,39.679311359385,10,110115,0,5916421721,,,,,,,0,,,,,,
461439,B0FFJKIWFE,,中国诚通金属电商物流港,,070501,,116.341670126093,39.684418585607794,10,110115,0,5916422702,,,,,,,0,,,,,,
461440,B0FFI6758K,,北京祥龙一商物流有限公司,,070501,,116.340846176836,39.6906381438368,10,110115,0,5916423702,,,,,,,0,,,,,,
461515,B000A8XHD0,,普洛斯大兴物流园(中铁吉盛物流大厦东),,070501,,116.338281630453,39.6929195865945,10,110115,0,5916423701,J50F004019_190303,,,,,,0,,,,,,
466867,B0FFG8HVE4,,物美生鲜物流分中心,,070501,,116.34078871858999,39.8069731818266,10,110106,0,5916526722,J50F003019_477545,,,,,,0,,,,,1.5,
504832,B0FFH8H4VE,,黄土店火车站货场,,070501,,116.340623006382,40.068651424699,10,110114,0,6016028712,K50F048019_704,,,西三旗,,,0,,,,,,
509027,B0FFF5FV29,,好明园区,,070501,,116.35195160472999,39.6890765683129,10,110115,0,5916422821,J50F004019_237761,,,,,,0,,,,,,
509028,B0FFG8VTOV,,百木汇仓储物流园,,070501,,116.35017601582399,39.690977318372795,10,110115,0,5916423801,J50F004019_237759,,,,,,0,,,,,,
509631,B0FFG4B1LP,,北京运商物流,,070501,,116.35873408901399,39.754820984299,10,110115,0,5916520920,J50F003019_240165,,,,,,0,,,,,,
598896,B0FFJJRHCD,,昌达仓储B区,,070501,,116.374017177862,39.6220420896077,10,110115,0,5916334021,,,,,,,0,,,,,,
599467,B0FFHQ6YGN,,北京中食兴瑞冷链物流有限公司,,070501,,116.37628063146799,39.7225896765888,10,110115,0,5916436021,,,,,,,0,,,,,,
666215,B0FFG8VKR4,,北京京锡盛仓储服务中心,,070501,,116.396934766752,39.757451982785,10,110115,0,5916531200,J50F003020_304420,,,,,,0,,,,,,
737008,B0FFF591GN,,东方广场卸货中心,,070501,,116.409946205746,39.9090511352294,10,110101,0,5916639300,,116.479221691929,39.9098044840656,东单,,,0,,,,,,
772545,B0FFJKHVUZ,,禾田电子商务配送中心,,070501,,116.43201565041001,39.729326887107796,10,110115,0,5916437520,,,,,,,0,,,,,3.5,
819291,B0FFJIDC0C,,物流仓储配送中心,,070501,,116.42751472414301,40.2050590058952,10,110114,0,6016234422,,,,,,,0,,,,,,
820233,B0FFHB822B,,京东退货仓库,,070501,,116.43983182385,39.7289384607614,10,110115,0,5916437512,,,,,,,0,,,,,,
