,clusterNo.,buildingId
0,2,149
1,1,143
2,2,153
3,1,130
4,1,139
5,1,79
6,2,154
7,2,151
8,1,135
9,1,28
10,1,131
11,1,20
12,2,148
13,1,82
14,1,43
15,1,136
16,2,161
17,1,44
18,1,18
19,1,85
20,1,84
21,1,70
22,1,13
23,2,137
24,1,45
25,1,25
26,1,83
27,1,17
28,1,29
29,2,167
30,1,26
31,1,80
32,1,106
33,1,14
34,2,162
35,1,33
36,2,142
37,1,12
38,1,50
39,1,39
40,1,53
41,1,88
42,1,54
43,1,100
44,2,155
45,1,87
46,2,171
47,1,21
48,1,68
49,2,158
50,2,163
51,1,141
52,2,138
53,1,36
54,1,19
55,1,24
56,1,23
57,1,97
58,1,62
59,1,56
60,1,102
61,1,52
62,1,11
63,2,150
64,1,69
65,1,104
66,1,133
67,1,34
68,2,164
69,1,47
70,1,60
71,1,64
72,1,99
73,1,96
74,1,94
75,1,73
76,1,128
77,2,156
78,1,51
79,2,140
80,1,108
81,1,15
82,1,22
83,1,65
84,1,109
85,1,58
86,1,121
87,1,93
88,2,147
89,1,123
90,1,49
91,1,75
92,1,35
93,1,89
94,1,111
95,1,10
96,2,166
97,1,81
98,1,132
99,1,76
100,1,114
101,1,37
102,1,48
103,1,32
104,1,55
105,1,67
106,1,30
107,2,152
108,1,103
109,1,124
110,1,95
111,1,78
112,1,16
113,2,159
114,2,129
115,1,107
116,1,86
117,2,144
118,1,125
119,2,146
120,2,165
121,1,115
122,1,110
123,2,157
124,2,168
125,2,169
126,1,59
127,1,46
128,1,118
129,1,57
130,1,134
131,1,92
132,1,91
133,1,90
134,2,170
135,2,160
136,1,113
137,1,117
138,1,6
139,1,127
140,1,9
141,1,40
142,1,72
143,2,145
144,1,120
145,1,41
146,1,38
147,2,593
148,1,74
149,1,116
150,1,31
151,1,63
152,1,98
153,1,71
154,2,586
155,1,112
156,1,27
157,1,105
158,1,77
159,1,126
160,1,101
161,2,568
162,2,596
163,2,589
164,1,119
165,1,122
166,1,470
167,1,545
168,1,5
169,1,2
170,1,42
171,1,4
172,1,61
173,1,1
174,1,496
175,2,563
176,1,3
177,1,66
178,1,0
179,1,8
180,2,576
181,1,393
182,1,529
183,1,7
184,1,382
185,1,206
186,1,547
187,2,590
188,1,543
189,1,202
190,1,204
191,1,524
192,2,598
193,1,541
194,1,242
195,2,569
196,1,184
197,1,412
198,1,210
199,1,203
200,1,183
201,1,561
202,1,462
203,1,207
204,1,182
205,1,205
206,1,238
207,1,197
208,1,464
209,1,178
210,1,187
211,1,510
212,1,391
213,1,186
214,1,251
215,2,577
216,1,211
217,1,485
218,1,255
219,1,258
220,1,185
221,1,217
222,1,188
223,1,525
224,1,209
225,1,498
226,1,239
227,1,191
228,1,438
229,1,268
230,1,262
231,1,429
232,1,263
233,1,213
234,1,406
235,1,208
236,1,511
237,1,401
238,1,252
239,1,430
240,1,235
241,1,521
242,1,212
243,1,552
244,1,256
245,1,492
246,1,261
247,1,243
248,1,253
249,1,231
250,1,248
251,1,499
252,1,216
253,1,227
254,1,254
255,1,247
256,1,402
257,1,226
258,2,560
259,1,232
